mcc,category_rus
3777,"Отели, мотели, курорты"
3681,"Отели, мотели, курорты"
3688,"Отели, мотели, курорты"
5814,Фастфуд
5611,"Мужская одежда и аксессуары, включая одежду для мальчиков"
5932,"Антикварные магазины ? продажа, ремонт и услуги реставрации"
3261,"Авиалинии, авиакомпании"
3297,"Авиалинии, авиакомпании"
3555,"Отели, мотели, курорты"
8734,Испытательные лаборатории (немедицинские)
3039,"Авиалинии, авиакомпании"
3570,"Отели, мотели, курорты"
3819,"Отели, мотели, курорты"
3561,"Отели, мотели, курорты"
6051,Нефинансовые учреждения ? квази-кэш
5251,Скобяные товары в розницу
5713,Покрытия для пола
7210,Услуги по уборке и прачечной
5998,Магазины палаток и навесов
3359,Агентства по аренде автомобилей
8651,Политические организации
3559,"Отели, мотели, курорты"
3623,"Отели, мотели, курорты"
8999,Профессиональные услуги - нигде более не классифицированные
7512,Прокат автомобилей
5085,Промышленное оборудование ?нигде более не классифицированное
3066,"Авиалинии, авиакомпании"
3542,"Отели, мотели, курорты"
3790,"Отели, мотели, курорты"
3184,"Авиалинии, авиакомпании"
3816,"Отели, мотели, курорты"
5812,"Места общественного питания, рестораны"
6538,Денежные переводы MasterCard MoneySend Funding
5969,Прямой маркетинг ? другие торговые точки прямого маркетинга (нигде более не классифицированные)
7622,Ремонт электроники
2842,"Специальная обработка, полировка, санитария"
3692,"Отели, мотели, курорты"
5965,Прямой маркетинг ? комбинированный каталог и розничные продавцы
3219,"Авиалинии, авиакомпании"
3637,"Отели, мотели, курорты"
5331,Универсальные магазины
7297,Массажные салоны
6513,Агенты недвижимости и менеджеры - Аренда
7339,Услуги стенографии и секретарского дела
7992,Публичные поля для гольфа
3540,"Отели, мотели, курорты"
5681,Изготовление и продажа меховых изделий
5712,"Оборудование, мебель и бытовые принадлежности (кроме электрооборудования)"
7933,Боулинг-клубы
5169,Химикалии и смежные вещества - нигде более не классифицированные
5074,Оборудование для водопровода и отопительной системы
4468,"Пристани для яхт, их обслуживание и поставка"
3501,"Отели, мотели, курорты"
3579,"Отели, мотели, курорты"
3299,"Авиалинии, авиакомпании"
5966,Прямой маркетинг - исходящий телемаркетинг
3712,"Отели, мотели, курорты"
5399,Различные товары общего назначения
5532,Автошины
3000,"Авиалинии, авиакомпании"
3211,"Авиалинии, авиакомпании"
3636,"Отели, мотели, курорты"
3607,"Отели, мотели, курорты"
3427,Агентства по аренде автомобилей
3698,"Отели, мотели, курорты"
7994,Галереи/учреждения видеоигр
5946,Магазины фотооборудования и фотоприборов
7631,Центры ремонта часов и чистки ювелирных изделий
3719,"Отели, мотели, курорты"
3591,"Отели, мотели, курорты"
3773,"Отели, мотели, курорты"
3221,"Авиалинии, авиакомпании"
8021,"Дантисты, ортодантисты"
3553,"Отели, мотели, курорты"
3374,Агентства по аренде автомобилей
6533,Платежная операция - продавец
2791,"Набор текстов, шрифтов, таблиц и относящиеся к этому услуги"
3548,"Отели, мотели, курорты"
3405,Агентства по аренде автомобилей
3721,"Отели, мотели, курорты"
